"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 06 11:44:43 CST 2020","Wed May 06 11:44:44 CST 2020","383","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Wed May 06 11:48:08 CST 2020","Wed May 06 11:48:08 CST 2020","612","","Utilities","","Utilities","Cypress.$ - call a jQuery method","Cypress.$ - call a jQuery method",""
"passed","Wed May 06 11:47:53 CST 2020","Wed May 06 11:47:54 CST 2020","487","","Traversal","","Traversal",".prevAll() - get all previous sibling DOM elements",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed May 06 11:44:23 CST 2020","Wed May 06 11:44:28 CST 2020","4710","","Aliasing","","Aliasing",".as() - alias a DOM element for later use",".as() - alias a DOM element for later use",""
"passed","Wed May 06 11:46:17 CST 2020","Wed May 06 11:46:22 CST 2020","4997","","Misc","","Misc",".end() - end the command chain",".end() - end the command chain",""
"passed","Wed May 06 11:47:48 CST 2020","Wed May 06 11:47:49 CST 2020","512","","Traversal","","Traversal",".first() - get first DOM element",".first() - get first DOM element",""
"passed","Wed May 06 11:47:25 CST 2020","Wed May 06 11:47:30 CST 2020","4640","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() - wrap a method in a spy","cy.spy() - wrap a method in a spy",""
"passed","Wed May 06 11:47:52 CST 2020","Wed May 06 11:47:53 CST 2020","430","","Traversal","","Traversal",".parentsUntil() - get parent DOM elements from DOM elements until el",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed May 06 11:46:55 CST 2020","Wed May 06 11:46:56 CST 2020","1067","","Network Requests","","Network Requests","cy.request() - make an XHR request","cy.request() - make an XHR request",""
"passed","Wed May 06 11:47:16 CST 2020","Wed May 06 11:47:16 CST 2020","451","","Querying","","Querying",".within() - query DOM elements within a specific element",".within() - query DOM elements within a specific element",""
"passed","Wed May 06 11:47:15 CST 2020","Wed May 06 11:47:16 CST 2020","518","","Querying","","Querying","cy.contains() - query DOM elements with matching content","cy.contains() - query DOM elements with matching content",""
"passed","Wed May 06 11:45:27 CST 2020","Wed May 06 11:45:27 CST 2020","475","","Cypress.config()","","Cypress.config()","Get and set configuration options","Get and set configuration options",""
"passed","Wed May 06 11:44:57 CST 2020","Wed May 06 11:44:57 CST 2020","498","","Connectors .then()","","Connectors .then()","invokes a callback function with the current subject","invokes a callback function with the current subject",""
"passed","Wed May 06 11:46:24 CST 2020","Wed May 06 11:46:26 CST 2020","2243","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","cy.screenshot() - take a screenshot","cy.screenshot() - take a screenshot",""
"passed","Wed May 06 11:44:41 CST 2020","Wed May 06 11:44:42 CST 2020","435","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".and() - chain multiple assertions together",".and() - chain multiple assertions together",""
"passed","Wed May 06 11:45:44 CST 2020","Wed May 06 11:45:44 CST 2020","458","","Files","","Files","cy.readFile() - read file contents","cy.readFile() - read file contents",""
"passed","Wed May 06 11:45:29 CST 2020","Wed May 06 11:45:30 CST 2020","422","","Cypress.version","","Cypress.version","Get current version of Cypress being run","Get current version of Cypress being run",""
"passed","Wed May 06 11:48:10 CST 2020","Wed May 06 11:48:11 CST 2020","606","","Utilities","","Utilities","Cypress.moment() - format or parse dates using a moment method","Cypress.moment() - format or parse dates using a moment method",""
"passed","Wed May 06 11:46:58 CST 2020","Wed May 06 11:46:59 CST 2020","1352","","Network Requests","","Network Requests","cy.request() - pass result to the second request","cy.request() - pass result to the second request",""
"passed","Wed May 06 11:44:55 CST 2020","Wed May 06 11:44:56 CST 2020","453","","Connectors","","Connectors",".its() - get properties on the current subject",".its() - get properties on the current subject",""
"passed","Wed May 06 11:46:42 CST 2020","Wed May 06 11:46:43 CST 2020","1216","","Navigation","","Navigation","cy.visit() - visit a remote url","cy.visit() - visit a remote url",""
"passed","Wed May 06 11:45:25 CST 2020","Wed May 06 11:45:26 CST 2020","400","","Cypress.Cookies","","Cypress.Cookies",".defaults() - set defaults for all cookies",".defaults() - set defaults for all cookies",""
"passed","Wed May 06 11:44:11 CST 2020","Wed May 06 11:44:12 CST 2020","454","","Actions","","Actions",".scrollIntoView() - scroll an element into view",".scrollIntoView() - scroll an element into view",""
"passed","Wed May 06 11:44:12 CST 2020","Wed May 06 11:44:13 CST 2020","694","","Actions","","Actions",".trigger() - trigger an event on a DOM element",".trigger() - trigger an event on a DOM element",""
"passed","Wed May 06 11:45:24 CST 2020","Wed May 06 11:45:25 CST 2020","584","","Cypress.Cookies","","Cypress.Cookies",".debug() - enable or disable debugging",".debug() - enable or disable debugging",""
"passed","Wed May 06 11:47:32 CST 2020","Wed May 06 11:47:33 CST 2020","578","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.stub() - create a stub and/or replace a function with stub","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed May 06 11:44:51 CST 2020","Wed May 06 11:44:55 CST 2020","4279","","Connectors","","Connectors",".each() - iterate over an array of elements",".each() - iterate over an array of elements",""
"passed","Wed May 06 11:46:40 CST 2020","Wed May 06 11:46:42 CST 2020","1487","","Navigation","","Navigation","cy.reload() - reload the page","cy.reload() - reload the page",""
"passed","Wed May 06 11:43:51 CST 2020","Wed May 06 11:44:00 CST 2020","8933","","Actions","","Actions",".type() - type into a DOM element",".type() - type into a DOM element",""
"passed","Wed May 06 11:46:09 CST 2020","Wed May 06 11:46:10 CST 2020","412","","Location","","Location","cy.url() - get the current URL","cy.url() - get the current URL",""
"passed","Wed May 06 11:46:22 CST 2020","Wed May 06 11:46:23 CST 2020","919","","Misc","","Misc","cy.exec() - execute a system command","cy.exec() - execute a system command",""
"passed","Wed May 06 11:44:09 CST 2020","Wed May 06 11:44:10 CST 2020","1158","","Actions","","Actions",".uncheck() - uncheck a checkbox element",".uncheck() - uncheck a checkbox element",""
"passed","Wed May 06 11:47:47 CST 2020","Wed May 06 11:47:47 CST 2020","515","","Traversal","","Traversal",".eq() - get a DOM element at a specific index",".eq() - get a DOM element at a specific index",""
"passed","Wed May 06 11:46:57 CST 2020","Wed May 06 11:46:58 CST 2020","1003","","Network Requests","","Network Requests","cy.request() with query parameters","cy.request() with query parameters",""
"passed","Wed May 06 11:45:38 CST 2020","Wed May 06 11:45:44 CST 2020","5076","","Files","","Files","cy.fixture() - load a fixture","cy.fixture() - load a fixture",""
"passed","Wed May 06 11:47:52 CST 2020","Wed May 06 11:47:52 CST 2020","437","","Traversal","","Traversal",".parents() - get parent DOM elements from DOM elements",".parents() - get parent DOM elements from DOM elements",""
"passed","Wed May 06 11:45:28 CST 2020","Wed May 06 11:45:29 CST 2020","467","","Cypress.log","","Cypress.log","Control what is printed to the Command Log","Control what is printed to the Command Log",""
"passed","Wed May 06 11:45:44 CST 2020","Wed May 06 11:45:44 CST 2020","419","","Files","","Files","cy.fixture() or require - load a fixture","cy.fixture() or require - load a fixture",""
"passed","Wed May 06 11:48:34 CST 2020","Wed May 06 11:48:43 CST 2020","9037","","Waiting","","Waiting","cy.wait() - wait for a specific amount of time","cy.wait() - wait for a specific amount of time",""
"passed","Wed May 06 11:46:23 CST 2020","Wed May 06 11:46:23 CST 2020","606","","Misc","","Misc","cy.focused() - get the DOM element that has focus","cy.focused() - get the DOM element that has focus",""
"passed","Wed May 06 11:45:26 CST 2020","Wed May 06 11:45:26 CST 2020","438","","Cypress.Server","","Cypress.Server",".defaults() - change default config of server",".defaults() - change default config of server",""
"passed","Wed May 06 11:44:57 CST 2020","Wed May 06 11:44:58 CST 2020","364","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Wed May 06 11:47:51 CST 2020","Wed May 06 11:47:51 CST 2020","529","","Traversal","","Traversal",".not() - remove DOM elements from set of DOM elements",".not() - remove DOM elements from set of DOM elements",""
"passed","Wed May 06 11:46:23 CST 2020","Wed May 06 11:46:24 CST 2020","459","","Misc","","Misc","cy.wrap() - wrap an object","cy.wrap() - wrap an object",""
"passed","Wed May 06 11:48:59 CST 2020","Wed May 06 11:48:59 CST 2020","454","","Window","","Window","cy.title() - get the title","cy.title() - get the title",""
